 -77    3
 -77    3
 -77    3
 -77    3
 -77    1
 -77    1
 -77    1
 -77    1
 -77   -2
 -77   -2
 -77   -2
 -77   -2
 -77   -4
 -77   -4
 -77   -4
 -77   -4
 -77   -6
 -77   -6
 -77   -6
 -77   -6
 -76   -9
 -76   -9
 -76   -9
 -76   -9
 -76  -11
 -76  -11
 -76  -11
 -76  -11
 -76  -13
 -76  -13
 -76  -13
 -76  -13
 -75  -16
 -75  -16
 -75  -16
 -75  -16
 -75  -18
 -75  -18
 -75  -18
 -75  -18
 -74  -20
 -74  -20
 -74  -20
 -74  -20
 -73  -23
 -73  -23
 -73  -23
 -73  -23
 -73  -25
 -73  -25
 -73  -25
 -73  -25
 -72  -28
 -72  -28
 -72  -28
 -72  -28
 -71  -30
 -71  -30
 -71  -30
 -71  -30
 -70  -32
 -70  -32
 -70  -32
 -70  -32
 -69  -34
 -69  -34
 -69  -34
 -69  -34
 -68  -36
 -68  -36
 -68  -36
 -68  -36
 -67  -38
 -67  -38
 -67  -38
 -67  -38
 -66  -40
 -66  -40
 -66  -40
 -66  -40
 -64  -42
 -64  -42
 -64  -42
 -64  -42
 -63  -44
 -63  -44
 -63  -44
 -63  -44
 -62  -46
 -62  -46
 -62  -46
 -62  -46
 -60  -48
 -60  -48
 -60  -48
 -60  -48
 -59  -50
 -59  -50
 -59  -50
 -59  -50
 -57  -52
 -57  -52
 -57  -52
 -57  -52
 -55  -54
 -55  -54
 -55  -54
 -55  -54
 -54  -55
 -54  -55
 -54  -55
 -54  -55
 -52  -57
 -52  -57
 -52  -57
 -52  -57
 -50  -59
 -50  -59
 -50  -59
 -50  -59
 -48  -60
 -48  -60
 -48  -60
 -48  -60
 -46  -62
 -46  -62
 -46  -62
 -46  -62
 -44  -63
 -44  -63
 -44  -63
 -44  -63
 -43  -64
 -43  -64
 -43  -64
 -43  -64
 -41  -65
 -41  -65
 -41  -65
 -41  -65
 -38  -67
 -38  -67
 -38  -67
 -38  -67
 -36  -68
 -36  -68
 -36  -68
 -36  -68
 -34  -69
 -34  -69
 -34  -69
 -34  -69
 -32  -70
 -32  -70
 -32  -70
 -32  -70
 -30  -71
 -30  -71
 -30  -71
 -30  -71
 -27  -72
 -27  -72
 -27  -72
 -27  -72
 -25  -73
 -25  -73
 -25  -73
 -25  -73
 -23  -74
 -23  -74
 -23  -74
 -23  -74
 -20  -74
 -20  -74
 -20  -74
 -20  -74
 -18  -75
 -18  -75
 -18  -75
 -18  -75
 -16  -75
 -16  -75
 -16  -75
 -16  -75
 -13  -76
 -13  -76
 -13  -76
 -13  -76
 -11  -76
 -11  -76
 -11  -76
 -11  -76
  -9  -76
  -9  -76
  -9  -76
  -9  -76
  -6  -77
  -6  -77
  -6  -77
  -6  -77
  -4  -77
  -4  -77
  -4  -77
  -4  -77
  -1  -77
  -1  -77
  -1  -77
  -1  -77
   2  -77
   2  -77
   2  -77
   2  -77
   4  -77
   4  -77
   4  -77
   4  -77
   6  -77
   6  -77
   6  -77
   6  -77
   9  -76
   9  -76
   9  -76
   9  -76
  11  -76
  11  -76
  11  -76
  11  -76
  13  -76
  13  -76
  13  -76
  13  -76
  16  -75
  16  -75
  16  -75
  16  -75
  18  -75
  18  -75
  18  -75
  18  -75
  20  -74
  20  -74
  20  -74
  20  -74
  23  -73
  23  -73
  23  -73
  23  -73
  25  -73
  25  -73
  25  -73
  25  -73
  28  -72
  28  -72
  28  -72
  28  -72
  30  -71
  30  -71
  30  -71
  30  -71
  32  -70
  32  -70
  32  -70
  32  -70
  34  -69
  34  -69
  34  -69
  34  -69
  36  -68
  36  -68
  36  -68
  36  -68
  38  -67
  38  -67
  38  -67
  38  -67
  40  -66
  40  -66
  40  -66
  40  -66
  42  -64
  42  -64
  42  -64
  42  -64
  44  -63
  44  -63
  44  -63
  44  -63
  46  -62
  46  -62
  46  -62
  46  -62
  48  -60
  48  -60
  48  -60
  48  -60
  50  -59
  50  -59
  50  -59
  50  -59
  52  -57
  52  -57
  52  -57
  52  -57
  54  -55
  54  -55
  54  -55
  54  -55
  55  -54
  55  -54
  55  -54
  55  -54
  57  -52
  57  -52
  57  -52
  57  -52
  59  -50
  59  -50
  59  -50
  59  -50
  60  -48
  60  -48
  60  -48
  60  -48
  62  -46
  62  -46
  62  -46
  62  -46
  63  -44
  63  -44
  63  -44
  63  -44
  64  -43
  64  -43
  64  -43
  64  -43
  65  -41
  65  -41
  65  -41
  65  -41
  67  -38
  67  -38
  67  -38
  67  -38
  68  -36
  68  -36
  68  -36
  68  -36
  69  -34
  69  -34
  69  -34
  69  -34
  70  -32
  70  -32
  70  -32
  70  -32
